episode/episode_number,1,2,3
1,849,952,490
2,1001,287,524
3,145,273,732
4,1001,124,1001
5,116,614,145
6,1001,1001,656
7,854,289,236
8,150,291,1001
9,1001,256,469
10,728,329,643
11,1001,466,1001
12,303,266,626
13,494,379,387
14,303,231,411
15,627,239,899
16,352,565,281
17,213,314,270
18,275,303,356
19,1001,370,432
20,1001,400,360
21,576,288,527
22,400,435,562
23,1001,386,1001
24,611,305,249
25,1001,1001,1001
26,1001,417,187
27,1001,711,1001
28,265,473,215
29,1001,441,1001
30,389,932,1001
31,1001,346,1001
32,1001,548,1001
33,1001,1001,1001
34,1001,581,1001
35,1001,1001,248
36,1001,1001,348
37,1001,1001,1001
38,1001,1001,1001
39,1001,338,1001
40,1001,364,1001
41,1001,1001,1001
42,1001,213,125
43,1001,1001,1001
44,1001,1001,1001
45,1001,1001,330
46,1001,1001,1001
47,1001,1001,294
48,279,1001,1001
49,1001,1001,1001
50,252,1001,1001
51,1001,1001,1001
52,1001,1001,1001
53,1001,1001,1001
54,1001,1001,1001
55,1001,1001,1001
56,1001,1001,1001
57,1001,1001,1001
58,1001,247,380
59,1001,290,1001
60,1001,1001,1001
61,1001,1001,1001
62,1001,193,1001
63,1001,1001,1001
64,1001,1001,1001
65,1001,781,1001
66,1001,448,1001
67,206,1001,1001
68,1001,1001,1001
69,1001,1001,1001
70,1001,1001,1001
71,221,1001,1001
72,1001,1001,1001
73,1001,1001,1001
74,1001,1001,1001
75,1001,1001,1001
76,1001,1001,309
77,1001,1001,276
78,1001,1001,189
79,1001,1001,1001
80,1001,1001,1001
81,1001,1001,553
82,211,1001,278
83,1001,1001,1001
84,1001,396,1001
85,1001,1001,1001
86,1001,1001,195
87,1001,59,184
88,1001,1001,1001
89,1001,1001,1001
90,1001,255,1001
91,1001,1001,1001
92,1001,1001,1001
93,1001,1001,1001
94,1001,1001,1001
95,1001,1001,1001
96,1001,1001,1001
97,1001,1001,1001
98,1001,1001,1001
99,1001,1001,1001
100,,1001,1001
101,7,,
102,224,,
103,1001,,
104,1001,,
