episode/episode_number,1,2,3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,1
16,0,0,0
17,0,0,0
18,0,0,0
19,1,0,0
20,1,0,0
21,1,0,0
22,0,0,0
23,0,0,1
24,0,0,0
25,1,0,1
26,1,0,0
27,1,0,1
28,0,0,0
29,1,0,1
30,0,0,1
31,1,0,1
32,1,1,1
33,1,1,1
34,1,0,1
35,1,1,0
36,1,1,0
37,1,1,1
38,1,1,1
39,1,0,1
40,1,0,1
41,1,1,1
42,1,0,0
43,1,1,1
44,1,1,1
45,1,1,0
46,1,1,1
47,1,1,0
48,0,1,1
49,1,1,1
50,0,1,1
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,1,1,1
56,1,1,1
57,1,1,1
58,1,0,0
59,1,0,1
60,1,1,1
61,1,1,1
62,1,0,1
63,1,1,1
64,1,1,1
65,1,0,1
66,1,0,1
67,0,1,1
68,1,1,1
69,1,1,1
70,1,1,1
71,0,1,1
72,1,1,1
73,1,1,1
74,1,1,1
75,1,1,1
76,1,1,0
77,1,1,0
78,1,1,0
79,1,1,1
80,1,1,1
81,1,1,0
82,0,1,0
83,1,1,1
84,1,0,1
85,1,1,1
86,1,1,0
87,1,0,0
88,1,1,1
89,1,1,0
90,1,0,1
91,1,1,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,1,1,1
98,1,1,1
99,1,1,1
100,,1,1
101,0,,
102,0,,
103,1,,
104,1,,
