x,theta,v,thetadot
<-22,3.15,0,0.000>
<-22,3.15,0,0.000>
<-22,3.15,0,0.000>
<-22,3.15,0,0.000>
<-22,3.15,0,0.000>
<-22,3.15,0,0.000>
<-21,3.14,0,0.001>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
<-21,3.14,0,0.000>
