t,x_m,theta,v_m_s,thetadot,u_force,u_pwm
1765979611.6251543,-0.0006640625,3.14,0.0,-0.0,19.462060928344727,150
1765979611.6742096,0.032578125,3.04,1.1152734375,-3.419,13.62258243560791,150
1765979611.7761447,0.1691015625,2.66,1.39640625,-3.425,9.180387496948242,150
1765979611.8771355,0.3085546875,2.4,1.3960937500000001,-1.786,-20.0,-79
1765979611.980137,0.2986328125,2.69,-0.636640625,4.864,5.448450088500977,-14
1765979612.0781412,0.27734375,3.09,-0.02390625,3.846,-3.29679799079895,-56
1765979612.1755602,0.2466015625,-2.73,-0.42464843750000003,4.46,-19.198537826538086,-150
1765979612.2761521,0.13496093750000002,-2.19,-1.3908203125,5.201,-17.03794288635254,-150
1765979612.3761516,-0.005859375,-1.83,-1.4181640625,2.27,3.7940566539764404,-110
1765979612.477571,-0.1120703125,-1.79,-0.9852734375000001,-0.838,20.0,119
1765979612.576572,-0.0703125,-2.2,1.0451953125,-5.804,10.949383735656738,150
1765979612.6755736,0.0611328125,-2.95,1.40421875,-8.273,-20.0,-79
1765979612.7771559,0.04859375,2.97,-0.646328125,-1.694,20.0,150
1765979612.875158,0.1280078125,2.42,1.37578125,-6.702,11.265915870666504,150
1765979612.9781492,0.26765625,1.89,1.3996484375,-4.19,-20.0,-79
1765979613.074568,0.2608984375,1.75,-0.6230859375,0.365,-20.0,-150
1765979613.1741471,0.148203125,1.97,-1.3976171875,3.587,-10.581826210021973,-150
1765979613.2775683,-0.000625,2.51,-1.42828125,6.267,20.0,76
1765979613.3761528,0.004921875,2.82,0.6072265625000001,1.834,18.541614532470703,150
1765979613.478574,0.1213671875,2.89,1.3944921875,0.287,-2.0766255855560303,127
1765979613.5771499,0.23953125,2.99,1.1662890625,1.527,-17.753398895263672,-76
1765979613.6771543,0.2310546875,-2.72,-0.6051953125,6.949,-15.58383846282959,-150
1765979613.7751644,0.115625,-2.0,-1.3840625,6.681,-12.71137809753418,-150
1765979613.8751554,-0.02453125,-1.5,-1.4056250000000001,3.608,3.500523567199707,-112
1765979613.9781582,-0.13671875,-1.3,-1.0029296875,0.73,-9.587379455566406,-150
1765979614.0755794,-0.2578125,-1.41,-1.397421875,-2.469,10.850942611694336,-26
1765979614.178579,-0.31765625000000003,-1.84,-0.16109375,-5.419,20.0,150
1765979614.2785802,-0.2318359375,-2.63,1.3849609375,-10.108,-0.7831140160560608,141
1765979614.373579,-0.0899609375,2.59,1.308984375,-9.682,10.183910369873047,150
1765979614.47516,0.047265625,1.73,1.3907421875000001,-7.302,5.64545202255249,150
1765979614.5751626,0.18,1.2,1.4010546875,-4.398,-11.300389289855957,21
1765979614.6765847,0.232734375,0.78,0.109921875,-3.482,-14.956697463989258,-147
1765979614.7745826,0.1385546875,0.28,-1.3591015625,-5.368,13.53891658782959,8
1765979614.8731627,0.1098046875,0.11,0.003125,-0.614,3.0837085247039795,51
1765979614.9745855,0.1383984375,0.16,0.3669140625,0.915,-3.6459689140319824,9
1765979615.0731702,0.1466015625,0.2,3.90625e-05,0.304,-5.162639141082764,-44
