t,x_m,theta,v_m_s,thetadot,u_pwm
1764425655.0644708,-0.0003125,0.02,0.0,-0.601,19
1764425655.0854483,-7.8125e-05,-0.02,0.021484375,0.002,25
1764425655.0964484,0.0005078125,-0.02,0.0503125,0.231,21
1764425655.105868,0.00125,-0.02,0.06921875,0.211,26
1764425655.1154473,0.00171875,-0.01,0.081484375,0.259,23
1764425655.1248703,0.003359375,-0.01,0.1078515625,0.301,27
1764425655.1365232,0.0046484375,-0.0,0.12265625000000001,0.382,24
1764425655.1484473,0.0052734375,-0.0,0.123828125,0.344,26
1764425655.1578662,0.0073046875,0.0,0.1336328125,0.35,28
1764425655.169867,0.0085546875,0.01,0.1251953125,0.471,19
1764425655.1808677,0.0110546875,0.01,0.126484375,0.317,26
1764425655.1904495,0.01203125,0.02,0.1019140625,0.309,19
1764425655.199869,0.0125,0.02,0.0978515625,0.308,18
1764425655.2118757,0.013984375,0.02,0.0962109375,0.307,18
1764425655.2214549,0.0147265625,0.03,0.07875,0.307,12
1764425655.2314487,0.0153125,0.03,0.06265625,0.153,15
1764425655.24446,0.015703125000000002,0.03,0.0430078125,0.115,13
1764425655.2574468,0.01609375,0.03,0.0400390625,0.182,10
1764425655.268447,0.016484375,0.03,0.039296875,0.199,9
1764425655.2778702,0.016640625,0.03,0.0352734375,0.099,13
1764425655.28747,0.016796875,0.03,0.01859375,0.025,13
1764425655.300516,0.016835937500000002,0.03,0.0066015625,0.006,11
1764425655.3104584,0.016953125,0.03,0.00703125,-0.009,12
1764425655.3214505,0.016953125,0.03,0.0017578125,-0.079,14
1764425655.330885,0.016992187500000002,0.03,0.0043359375,-0.02,12
1764425655.3434625,0.0170703125,0.03,0.008906250000000001,-0.082,15
1764425655.3528864,0.017109375,0.03,0.0041796875,-0.097,15
1764425655.3624759,0.0171875,0.02,0.0069140625,-0.178,22
1764425655.3718996,0.01734375,0.02,0.0134375,-0.121,21
1764425655.3844752,0.0176171875,0.02,0.026796875,-0.26,29
1764425655.394889,0.018046875,0.02,0.039921875,-0.218,30
1764425655.4044654,0.0187109375,0.02,0.0626953125,-0.055,28
1764425655.4138882,0.019765625000000002,0.02,0.0976953125,-0.014,33
1764425655.42647,0.02109375,0.02,0.1240234375,0.15,31
1764425655.4384634,0.0225,0.02,0.1384375,0.191,33
1764425655.4479167,0.02421875,0.02,0.16546875,0.201,38
1764425655.457465,0.025078125,0.02,0.168671875,0.254,37
1764425655.468497,0.0278515625,0.03,0.1861328125,0.262,37
1764425655.4799128,0.0298046875,0.03,0.19496093750000001,0.296,38
1764425655.489467,0.0318359375,0.03,0.20109375000000002,0.304,39
