pwm,t_ms,x
181,0,0
181,1,0
181,3,1
181,5,10
181,7,31
181,9,60
181,11,93
181,13,131
181,15,175
181,17,226
181,19,280
181,21,336
181,23,396
181,25,460
181,27,528
181,29,596
181,31,665
181,33,737
181,35,812
181,37,888
181,39,963
181,41,1040
181,43,1119
181,45,1197
181,47,1277
181,49,1356
181,51,1437
181,53,1520
181,55,1602
181,57,1684
181,59,1767
181,61,1851
181,63,1935
181,65,2018
181,67,2102
181,69,2186
181,71,2270
181,73,2354
181,75,2438
181,77,2524
181,79,2610
181,81,2695
181,83,2780
181,85,2865
181,87,2951
181,89,3036
181,91,3121
181,93,3206
181,95,3291
181,97,3376
181,99,3462
181,101,3548
181,103,3634
181,105,3720
181,107,3806
181,109,3892
181,111,3978
181,113,4064
181,115,4150
181,117,4235
181,119,4321
181,121,4406
181,123,4493
181,125,4579
181,127,4666
181,129,4752
181,131,4838
181,133,4925
181,135,5011
181,137,5097
181,139,5183
181,141,5269
181,143,5355
181,145,5441
181,147,5527
181,149,5614
181,151,5701
181,153,5787
181,155,5873
181,157,5960
181,159,6048
181,161,6134
181,163,6220
181,165,6306
181,167,6392
181,169,6479
181,171,6565
181,173,6652
181,175,6739
181,177,6825
181,179,6912
181,181,6999
181,183,7085
181,185,7172
181,187,7258
181,189,7344
181,191,7430
181,193,7517
181,195,7605
181,197,7691
181,199,7779
181,201,7866
181,203,7953
181,205,8040
181,207,8127
181,209,8213
181,211,8300
181,213,8386
181,215,8473
181,217,8559
181,219,8647
181,221,8734
181,223,8821
181,225,8908
181,227,8995
181,229,9082
181,231,9169
181,233,9256
181,235,9342
181,237,9429
181,239,9516
181,241,9602
181,243,9690
181,245,9777
181,247,9864
181,249,9951
181,251,10038
181,253,10126
181,255,10212
181,257,10298
181,259,10385
181,261,10471
181,263,10557
181,265,10644
181,267,10731
181,269,10818
181,271,10904
181,273,10991
181,275,11078
181,277,11165
181,279,11252
181,281,11338
181,283,11425
181,285,11511
181,287,11597
181,289,11684
181,291,11771
181,293,11858
181,295,11945
181,297,12032
181,299,12119
181,301,12206
181,303,12292
181,305,12379
181,307,12465
181,309,12551
181,311,12638
181,313,12725
181,315,12812
181,317,12899
181,319,12986
181,321,13073
181,323,13160
181,325,13246
181,327,13333
181,329,13419
181,331,13505
181,333,13591
181,335,13678
181,337,13765
181,339,13852
181,341,13939
181,343,14025
181,345,14112
181,347,14199
181,349,14285
181,351,14372
181,353,14458
181,355,14544
181,357,14630
181,359,14716
181,361,14803
181,363,14890
181,365,14977
181,367,15064
181,369,15151
181,371,15238
181,373,15324
181,375,15411
181,377,15497
181,379,15584
181,381,15670
181,383,15757
181,385,15844
181,387,15931
181,389,16018
181,391,16105
181,393,16192
181,395,16279
181,397,16365
181,399,16451
181,401,16538
181,403,16624
181,405,16710
181,407,16796
181,409,16883
181,411,16970
181,413,17056
181,415,17143
181,417,17230
181,419,17316
181,421,17402
181,423,17489
181,425,17575
181,427,17660
181,429,17747
181,431,17834
181,433,17921
