pwm,t_ms,x
-255,0,0
-255,1,0
-255,3,-2
-255,5,-14
-255,7,-43
-255,9,-80
-255,11,-126
-255,13,-182
-255,15,-243
-255,17,-309
-255,19,-382
-255,21,-464
-255,23,-548
-255,25,-634
-255,27,-727
-255,29,-825
-255,31,-925
-255,33,-1027
-255,35,-1131
-255,37,-1239
-255,39,-1347
-255,41,-1457
-255,43,-1569
-255,45,-1682
-255,47,-1797
-255,49,-1913
-255,51,-2031
-255,53,-2149
-255,55,-2268
-255,57,-2387
-255,59,-2506
-255,61,-2626
-255,63,-2746
-255,65,-2868
-255,67,-2991
-255,69,-3114
-255,71,-3237
-255,73,-3360
-255,75,-3483
-255,77,-3607
-255,79,-3731
-255,81,-3855
-255,83,-3981
-255,85,-4106
-255,87,-4231
-255,89,-4356
-255,91,-4481
-255,93,-4607
-255,95,-4732
-255,97,-4857
-255,99,-4984
-255,101,-5110
-255,103,-5235
-255,105,-5361
-255,107,-5487
-255,109,-5611
-255,111,-5738
-255,113,-5864
-255,115,-5991
-255,117,-6119
-255,119,-6246
-255,121,-6372
-255,123,-6499
-255,125,-6626
-255,127,-6752
-255,129,-6878
-255,131,-7005
-255,133,-7132
-255,135,-7260
-255,137,-7386
-255,139,-7512
-255,141,-7638
-255,143,-7764
-255,145,-7888
-255,147,-8015
-255,149,-8144
-255,151,-8271
-255,153,-8397
-255,155,-8523
-255,157,-8649
-255,159,-8776
-255,161,-8902
-255,163,-9029
-255,165,-9158
-255,167,-9286
-255,169,-9412
-255,171,-9538
-255,173,-9666
-255,175,-9793
-255,177,-9919
-255,179,-10047
-255,181,-10176
-255,183,-10304
-255,185,-10430
-255,187,-10557
-255,189,-10685
-255,191,-10812
-255,193,-10939
-255,195,-11066
-255,197,-11193
-255,199,-11322
-255,201,-11449
-255,203,-11576
-255,205,-11704
-255,207,-11831
-255,209,-11956
-255,211,-12084
-255,213,-12213
-255,215,-12341
-255,217,-12466
-255,219,-12591
-255,221,-12717
-255,223,-12843
-255,225,-12970
-255,227,-13097
-255,229,-13226
-255,231,-13355
-255,233,-13482
-255,235,-13609
-255,237,-13737
-255,239,-13864
-255,241,-13991
-255,243,-14118
-255,245,-14247
-255,247,-14375
-255,249,-14501
-255,251,-14626
-255,253,-14752
-255,255,-14879
-255,257,-15005
-255,259,-15132
-255,261,-15260
-255,263,-15387
-255,265,-15514
-255,267,-15640
-255,269,-15766
-255,271,-15893
-255,273,-16019
-255,275,-16146
-255,277,-16274
-255,279,-16402
-255,281,-16527
-255,283,-16652
-255,285,-16779
-255,287,-16906
-255,289,-17031
-255,291,-17158
-255,293,-17286
-255,295,-17415
-255,297,-17541
-255,299,-17663
-255,301,-17791
-255,303,-17918
