t,x,v
0,0,0
0.002,0.0035,0.0885
0.004,0.0055,0.2214
0.006,0.0076,0.2214
0.007,0.0098,0.4062
0.009,0.0122,0.4062
0.011,0.0148,0.4062
0.013,0.0175,0.6237
0.015,0.0202,0.6237
0.017,0.0231,0.8594
0.019,0.0261,0.8594
0.021,0.0291,0.8594
0.023,0.032,1.1081
0.025,0.0352,1.1081
0.027,0.0384,1.2917
0.029,0.0418,1.2917
0.031,0.045,1.2917
0.033,0.0483,1.4401
0.035,0.0516,1.4401
0.037,0.055,1.5352
0.039,0.0583,1.5352
0.041,0.0617,1.5352
0.043,0.0651,1.6055
0.045,0.0685,1.6055
0.047,0.0719,1.6563
0.049,0.0754,1.6563
0.051,0.0788,1.6563
0.053,0.0823,1.6966
0.055,0.0857,1.6966
0.057,0.0892,1.7214
0.059,0.0927,1.7214
0.061,0.0961,1.7214
0.063,0.0996,1.7357
0.065,0.1032,1.7357
0.066,0.1067,1.7357
0.068,0.1102,1.7526
0.07,0.1137,1.7526
0.072,0.1172,1.7604
0.074,0.1209,1.7604
0.076,0.1244,1.7604
0.078,0.1279,1.7773
0.08,0.1314,1.7773
0.082,0.135,1.7813
0.084,0.1385,1.7813
0.086,0.1421,1.7813
0.088,0.1456,1.7904
0.09,0.1492,1.7904
0.092,0.1527,1.7943
0.094,0.1562,1.7943
0.096,0.1598,1.7943
0.098,0.1632,1.7956
0.1,0.1668,1.7956
0.102,0.1703,1.7969
0.104,0.1739,1.7969
0.106,0.1774,1.7969
0.108,0.1809,1.793
0.11,0.1845,1.793
0.112,0.188,1.7943
0.114,0.1916,1.7943
0.116,0.1951,1.7943
0.118,0.1987,1.793
0.12,0.2024,1.793
0.122,0.2059,1.7982
0.124,0.2094,1.7982
0.126,0.2129,1.7982
0.128,0.2165,1.7995
0.13,0.2201,1.7995
0.132,0.2236,1.7995
0.134,0.2272,1.8047
0.136,0.2308,1.8047
0.137,0.2344,1.806
0.139,0.2379,1.806
0.141,0.2416,1.806
0.143,0.245,1.8099
0.145,0.2486,1.8099
0.147,0.2521,1.8073
0.149,0.2556,1.8073
0.151,0.2592,1.8073
0.153,0.2627,1.8021
0.155,0.2663,1.8021
0.157,0.2699,1.8047
0.159,0.2735,1.8047
0.161,0.277,1.8047
0.163,0.2807,1.8086
0.165,0.2842,1.8086
0.167,0.2878,1.806
0.169,0.2913,1.806
0.171,0.2948,1.806
0.173,0.2984,1.8034
0.175,0.302,1.8034
0.177,0.3056,1.8086
0.179,0.3092,1.8086
0.181,0.3127,1.8086
0.183,0.3162,1.8099
0.185,0.3198,1.8099
0.187,0.3235,1.8125
