t,x,v
0,-0.0016,0
0.002,-0.0026,-0.0677
0.004,-0.0039,-0.168
0.006,-0.0054,-0.168
0.008,-0.0069,-0.168
0.009,-0.0085,-0.3008
0.011,-0.0104,-0.3008
0.013,-0.0123,-0.3008
0.015,-0.0142,-0.4622
0.017,-0.0162,-0.4622
0.019,-0.0184,-0.6367
0.021,-0.0205,-0.6367
0.023,-0.0227,-0.6367
0.025,-0.025,-0.8164
0.027,-0.0273,-0.8164
0.029,-0.0296,-0.9479
0.031,-0.0319,-0.9479
0.033,-0.0342,-0.9479
0.035,-0.0366,-1.0469
0.037,-0.039,-1.0469
0.039,-0.0414,-1.1159
0.041,-0.0438,-1.1159
0.043,-0.0462,-1.1159
0.045,-0.0486,-1.1589
0.047,-0.0511,-1.1589
0.049,-0.0536,-1.1927
0.051,-0.056,-1.1927
0.053,-0.0584,-1.1927
0.055,-0.061,-1.2161
0.057,-0.0635,-1.2161
0.059,-0.066,-1.2357
0.061,-0.0685,-1.2357
0.063,-0.071,-1.2357
0.065,-0.0736,-1.2487
0.067,-0.0761,-1.2487
0.069,-0.0786,-1.2617
0.071,-0.0812,-1.2617
0.073,-0.0837,-1.2617
0.075,-0.0862,-1.2708
0.077,-0.0887,-1.2708
0.078,-0.0912,-1.2708
0.08,-0.0938,-1.276
0.082,-0.0963,-1.276
0.084,-0.0989,-1.2813
0.086,-0.1014,-1.2813
0.088,-0.104,-1.2813
0.09,-0.1065,-1.2852
0.092,-0.1091,-1.2852
0.094,-0.1116,-1.2878
0.096,-0.1141,-1.2878
0.098,-0.1166,-1.2878
0.1,-0.1192,-1.2852
0.102,-0.1218,-1.2852
0.104,-0.1243,-1.2878
0.106,-0.1268,-1.2878
0.108,-0.1294,-1.2878
0.11,-0.1319,-1.2891
0.112,-0.1345,-1.2891
0.114,-0.137,-1.2904
0.116,-0.1396,-1.2904
0.118,-0.1421,-1.2904
0.12,-0.1447,-1.2904
0.122,-0.1472,-1.2904
0.124,-0.1498,-1.2904
0.126,-0.1523,-1.2904
0.128,-0.1548,-1.2904
0.13,-0.1573,-1.2904
0.132,-0.1598,-1.2904
0.134,-0.1625,-1.2917
0.136,-0.165,-1.2917
0.138,-0.1675,-1.2917
0.14,-0.17,-1.2891
0.142,-0.1726,-1.2891
0.144,-0.1751,-1.2891
0.146,-0.1777,-1.2891
0.147,-0.1802,-1.2891
0.149,-0.1828,-1.2891
0.151,-0.1854,-1.2891
0.153,-0.1879,-1.2891
0.155,-0.1904,-1.2891
0.157,-0.193,-1.2891
0.159,-0.1955,-1.2904
0.161,-0.198,-1.2904
0.163,-0.2007,-1.2904
0.165,-0.2033,-1.2943
0.167,-0.2059,-1.2943
0.169,-0.2084,-1.2969
0.171,-0.2109,-1.2969
0.173,-0.2135,-1.2969
0.175,-0.2161,-1.2982
0.177,-0.2186,-1.2982
0.179,-0.2212,-1.2982
0.181,-0.2238,-1.2982
0.183,-0.2264,-1.2982
0.185,-0.2288,-1.2995
0.187,-0.2314,-1.2995
0.189,-0.234,-1.3008
